=== 1.23.8 + formatting CPU  (pool=4626, total=281720) ===
   0.09%       460  com/intellij/psi/LanguageSubstitutors.getInstance
   0.09%       455  Thread::call_run
   0.08%       433  com/intellij/lang/impl/PsiBuilderImpl.checkTreeDepth
   0.07%       364  dev/detekt/tooling/api/DetektProvider$Companion.load$default

=== 1.23.8 + formatting ALLOC  (pool=3082, total=1459764) ===
   4.48%     65437  char[]
   4.30%     62738  sun/reflect/annotation/AnnotationParser.parseStringArray
   1.57%     22924  com.pinterest.ktlint.ruleset.standard.rules.NoUnusedImportsRule
   0.70%     10242  org/ec4j/core/model/Property.builder
   0.25%      3674  sun/nio/fs/UnixPath.getFileName
   0.14%      2045  org/jetbrains/kotlin/cli/jvm/compiler/ClasspathRootsResolver.computeRoots
   0.08%      1194  org/jetbrains/kotlin/psi/KtCommonFile.getImportLists
   0.07%      1090  kotlin/sequences/SequencesKt___SequencesKt.sortedWith
   0.07%      1008  org/jetbrains/kotlin/psi/KtVisitorVoid.visitArgument
   0.07%       975  org/jetbrains/kotlin/psi/KtDeclarationStub.getDocComment
   0.06%       945  org/jetbrains/kotlin/cli/jvm/compiler/KotlinCoreApplicationEnvironment$Companion.create
   0.06%       923  org/jetbrains/kotlin/psi/KtVisitorVoid.visitParenthesizedExpression
   0.03%       427  java/util/Arrays.copyOfRange
   0.03%       369  io/gitlab/arturbosch/detekt/rules/exceptions/ExceptionsProvider.instance
   0.02%       361  org/jetbrains/kotlin/cli/jvm/modules/CoreJrtFileSystem.<init>
   0.02%       288  java/util/IdentityHashMap.<init>
   0.02%       259  org/jetbrains/kotlin/psi/KtElementImplStub.<init>
   0.01%       210  java/util/ArrayList.grow

=== 2.0.0-alpha.3 + ktlint ALLOC  (pool=3508, total=2279255) ===
   5.12%    116776  char[]
   3.64%     82995  org/jetbrains/kotlin/psi/KtParameterList.<init>
   3.35%     76443  org/jetbrains/kotlin/analysis/api/standalone/base/projectStructure/StandaloneProjectFactory.access$registerJavaPsiFacade
   3.35%     76344  org/jetbrains/kotlin/analysis/api/standalone/base/projectStructure/ApplicationServiceRegistration.registerWithCustomRegistration
   3.35%     76333  org/jetbrains/kotlin/psi/stubs/elements/KtFileElementType.doParseContents
   2.71%     61748  org/jetbrains/kotlin/psi/KtVisitor.visitImportDirective
   1.02%     23166  java.util.LinkedList
   0.97%     22205  java/lang/ClassLoader.getClassLoadingLock
   0.86%     19633  java/util/AbstractList$SubList.iterator
   0.80%     18263  java/lang/invoke/DelegatingMethodHandle.makeReinvokerForm
   0.69%     15668  org/jetbrains/kotlin/psi/impl/KotlinElementTypeProviderImpl.getFileType
   0.40%      9058  java/util/ArrayList.<init>
   0.39%      8971  org/jetbrains/kotlin/psi/KtVisitorVoid.visitProperty
   0.34%      7771  java/lang/invoke/Invokers.callSiteForm
   0.34%      7650  java/util/BitSet.initWords
   0.32%      7367  dev/detekt/rules/style/FunctionOnlyReturningConstant.visitNamedFunction
   0.30%      6942  dev/detekt/rules/style/MayBeConstant.visitProperty
   0.28%      6366  com/beust/jcommander/JCommander.convertValue

